,Latitude,Longitude,Borough,Neighborhood,price1,price2,price3,price4
0,40.89470517661,-73.84720052054902,Bronx,Wakefield,20,6,1,0
0,40.87429419303012,-73.82993910812398,Bronx,Co-op City,23,9,2,0
0,40.887555677350775,-73.82780644716412,Bronx,Eastchester,20,9,4,0
0,40.89543742690383,-73.90564259591682,Bronx,Fieldston,20,12,3,0
0,40.890834493891305,-73.9125854610857,Bronx,Riverdale,15,13,0,0
0,40.88168737120521,-73.90281798724604,Bronx,Kingsbridge,40,28,1,1
0,40.87655077879964,-73.91065965862981,Manhattan,Marble Hill,25,13,1,2
0,40.89827261213805,-73.86731496814176,Bronx,Woodlawn,24,10,0,0
0,40.87722415599446,-73.8793907395681,Bronx,Norwood,30,11,2,0
0,40.88103887819211,-73.85744642974207,Bronx,Williamsbridge,22,13,2,0
0,40.866858107252696,-73.83579759808117,Bronx,Baychester,28,12,2,1
0,40.85741349808865,-73.85475564017999,Bronx,Pelham Parkway,38,7,2,0
0,40.84724670491813,-73.78648845267413,Bronx,City Island,6,7,8,1
0,40.870185164975325,-73.8855121841913,Bronx,Bedford Park,29,8,3,0
0,40.85572707719664,-73.9104159619131,Bronx,University Heights,25,6,3,1
0,40.84789792606271,-73.91967159119565,Bronx,Morris Heights,26,5,3,0
0,40.86099679638654,-73.89642655981623,Bronx,Fordham,60,24,0,0
0,40.84269615786053,-73.88735617532338,Bronx,East Tremont,29,4,3,0
0,40.83947505672653,-73.87774474910545,Bronx,West Farms,18,4,3,0
0,40.836623010706056,-73.9261020935813,Bronx,High  Bridge,10,4,4,0
0,40.819754370594936,-73.90942160757436,Bronx,Melrose,34,6,3,0
0,40.80623874935177,-73.91609987487575,Bronx,Mott Haven,25,10,5,1
0,40.801663627756206,-73.91322139386135,Bronx,Port Morris,12,7,1,0
0,40.81509904545822,-73.8957882009446,Bronx,Longwood,27,5,3,0
0,40.80972987938709,-73.88331505955291,Bronx,Hunts Point,7,2,3,1
0,40.82359198585534,-73.90150648943059,Bronx,Morrisania,26,7,1,0
0,40.821012197914015,-73.86574609554924,Bronx,Soundview,21,2,0,0
0,40.80655112003589,-73.85414416189266,Bronx,Clason Point,0,0,0,0
0,40.81510925804005,-73.81635002158441,Bronx,Throgs Neck,11,10,1,0
